Company,Brief Description,Protein Category,Company Focus,Company type,Technology Focus,Product Type,Animal-Type Analog,Ingredient Type,Operating Regions,Country/Region,State,City,Website,Year Founded,Founders,Logo
Cell Ag Tech,Canada-based startup working to produce sustainable seafood from stem cells instead of living animals,Cultivated,"Meat,Seafood",Specialized (focused on alternative proteins),End product formulation and manufacturing,Whole muscle meat/seafood,Fish,,U.S. and Canada,Canada,Ontario,Toronto,https://cellagtech.com/,2018,"Josh Pollack, Valentin Fulga",pyoiwe1v6js22kj4s6k2.png (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/Zr-sVoCzFH5ADrdn7ZyaYg/5Ry4lLbxLeu7WLfF3fGJolWp_y64_MSDTI400moUAW7ywbSlese4b0CZ67ZabBAZacgnFMllGCpK4aqfm_x4xYUZ-A-z-bXUHZaKekAYcjOGpVnKz6eiQM-5OUmUM2iOWZ-NqyOT13kKGcZA8SFJi68Qwi6p_e1mp1Pe49Eo6SU/iXCLsb4zzUOHex1S8b5Stv88BIIFLckHyOzdxtp3fS4)
Fork & Good,U.S.-based startup working on cultivated meat,Cultivated,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Whole muscle meat/seafood,,,U.S. and Canada,United States,New York,New York,https://www.forkandgoode.com/,2018,"Niya Gupta, Gabor Forgacs",ForkGood_Logo.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/g72tWdinylrr0H9RB6YV9A/EwlWE1rYEUrOldnBM2PwoUOH2MzdhyBOLzLi0Y12jK_8bh1r1gJN8UQGfPg8tEq5obh_g5H6yqyWqyKT2AgNrG8xjyuB2kPfK4mxGYa0IXyVSGshlg6Ty9b2KZexyF7jQGnZWoZ0I_7pWTCEQ0tkRA/U64ZF3rlvAx_qrVnC212P-DHaKBGMj3QcsbW1Sng5AY)
IntegriCulture,Japan-based startup working on cultivated meat and leading an open-source movement,Cultivated,Meat,Specialized (focused on alternative proteins),"Cell culture media,Cell line development,Bioprocess design",,,,Asia Pacific,Japan,,Tokyo,http://integriculture.jp/?lang=en,2015,Yuki Hanyu,logo_text.png (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/vrl3q3JJbFN8Xs-kd1ym-A/7D9yDiUSo8HHvHI90AkoZRCobQYCkGmCGcFJk-8U-PhZjhZ3E5SPeJ6qb2AQBuCgcX9_z1rLb3sBxBNhBL6vGhFsiywiSAwPaMegHNafr2jp2zLeZDhZb2asJKeZPj7Rm0sgT13ejREipIleq3Uxwg/tnpikhbPUfaFJ245ziEkgo49oB8CSRsU7mO2K4KP19U)
Alpro,"Produces soy, almond, hazelnut, coconut, oat and rice beverages, including the first non-soy, plant- based milk alternatives to be commercialized on a large scale in Europe. Products also include plant-based alternatives to yogurt, cream, and margarine. Also manages Provamel brand.",Plant-based,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,Milk,,"Soy,Almond,Rice,Oat","U.S. and Canada,Europe,Africa/Middle East",Belgium,N/A,Ghent,www.alpro.com/uk,1980,subsidiary of Vandemoortele Group,download (1).jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/AWjWvx1naoeEmkv6cz-Rhw/EiS6GBDhfgs1rBthNRAKkKV2c_1EidG9c5TlCT_RmCrof4O-2ulwFdDx0tEflh0bAodn8WNt3YpxTnMmpZP5pvSeppEefsw1b3r619cNDWqLI2VAXnxQInQcu2Tj3jKhnmWX-GDImLgGNioLmz9D4g/nMk8dKG7Id5z5hO_6b2VHfu4IstV6sSCn0jhhW95yUA)
BlueNalu,U.S.-based startup producing cultivated seafood products,Cultivated,"Meat,Seafood",Specialized (focused on alternative proteins),End product formulation and manufacturing,Whole muscle meat/seafood,Fish,,U.S. and Canada,United States,California,San Diego,https://www.bluenalu.com/,2017,"Lou Cooperhouse, Chris Somogyi, Chris Dammann",crwil2a6rqt1m5mocbqm.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/PiQdcAW5UHIPrlNl90gTxQ/4w3ARTTDevEbGdW3ATdpLPACVMg6_RD9hm_4xzVPcS5gHGpr8av6A8Iivehd88bUHhm3ZZx3Ud6QqrSsbvqxJEnViTOJn7BgeRSpNPl6kQ56bQkLhGKfoNQ7-xLo5_fU9pHSCd37xepOJVeGiazN49KIwxfZ1QF-nlFZOfLRLGA/S9IcmVBuduwlPXFQArY4T-isn5QtqA0gKblrJ64DUkE)
Uncommon,U.K.-based startup working on cultivated meat,Cultivated,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Ground meat/seafood,Beef/veal,,Europe,United Kingdom,,London,https://www.highersteaks.com/,2018,"Benjamina Bollag, Stephanie Wallis",1686254331054.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/6j-E2iDXj6oEkODtORiiIw/KObbxoCQTHIPTWlNYCwZwemPFnMG4a3Rh_X4EGX46kRofso3lnMcGc5KLWHrGesxYGOo0uBMHdJFB6sD3yemIJuUoQqaBVRyjlV-OOeoIyFTXh31N1qW90U8tpzWiqboZnk0G6ER_Jol68-gz3ZHmg/Rafyq8_B5MQIpujHg2cp6Zq64yHnCEI8gCK1UDzCq3I)
Heuros,Australia-based company working on producing media and bioreactors to supply cultivated meat companies and interested research institutions,Cultivated,Meat,Specialized (focused on alternative proteins),"Cell culture media,Bioprocess design",Ground meat/seafood,Beef/veal,,Australia/New Zealand,Australia,Queensland,Brisbane,https://www.heuros.com/,2017,"Nick Beaumont, Jordan Sosnowski",download (5).png (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/-bMIvC28p86qNgGvd70Z-Q/h7kIJDQIUZdkyKle8h4EE6fO2L2s383EBobNbZwVTqmo-LyD9FvAU5vMZAMx6xxMtJnTPTYfBRdVbPs0h-ycVXGVEOKKktzwz3-TI_8EKAEWwPIYPC417ZX74hCta1nh6xtx0mAQSQ7a5tqcd9_pRg/EqKf0hMdpi5nAubdByHNNS8mru1_XxMVfUBmVBuKbqo)
Balletic Foods,"Startup working on creating proteins designed for improving athletic performance using precision fermentation. 
",Precision fermentation,Meat,Specialized (focused on alternative proteins),Ingredient optimization,,,,U.S. and Canada,United States,California,San Francisco,http://www.balleticfoods.com/,2017,Anita Broellochs,tmjduleedghkdolavjcn.png (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/pmdU2aXZpHZfj0pmYJbHdA/R7DWiBT2KESkJ2ll6N_1tT713iLU-YY-EGl2_ZT95GnSn2Z0JvA5msNiBLKwCtonPQ_7VSQi5JTsDw1lGriz819A5Ym4iQKhoVhUM9vJNHG5wfAvSLSK93YKezWb9lgHmFeSMcv_I0QZU_cCRIKm6qvZFFX7fomtitOwdRodaNc/XcYOSCGGPk7v5sDhzPxrBwL9IfZwOWeOxMkV2YCTvW8)
Meatable,Denmark-based company producing cultivated meat products and pushing to bring cultivated meat to market by combining it with plant-based proteins. ,Cultivated,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,,,,Europe,Netherlands,,Leiden,https://www.meatable.com/,2018,"Krijn de Nood, Daan Luining",Capture.JPG (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/W_1jAWZV0knfv7cU4ibybA/gtpZn8A6ZmMCFAClMMbAOeZIRgVe1u-z1jbddaDgzUjnlhQjlWKBykSpCWmgR5CIM8cyEN0Vtp7reWvXjt7hvZkU3RR0Ur5g6xtnapX4nNkniAR6alF_QjGo1T5j9kLd04bNIKpiz_sfa-9Hj9MZgA/6bFmqy_kMZYoLB1kKqER-s_IXFvhhVaR9CR7yJeJocE)
Mirai Foods AG (fmr. AlphaMeats),Switzerland-based company producing cultivated meat products ,Cultivated,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Ground meat/seafood,Beef/veal,,Europe,Switzerland,,Zürich Area,https://www.miraifoods.com/,2019,"Christoph Mayr, Suman Kumar Das",01.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/Xk2IlnFgqqPxuFD2FG7lQw/QVYGkgm3bRMrAPlwKr1yMw_KKbdWRvV2ybsSbg_cFuLO8gN441rtIXMhKdXEosdTbbO8bT9qg_m8vbhseQzrLk8eDdukHrnNnhLlfKkNIICOaohC8A7-IK8BqtSeocd89Xb1oPCEGs2ivdxlxKG1jg/8wwJzbAsdb5scfKU3AQSaFw9AiogvaRLdRtG9J3A9Cs)
VOW Food,"Australia-based cultivated meat startup working growing unconventional and exotic animal meats (i.e. kangaroo, zebra, tortoise)",Cultivated,Meat,Specialized (focused on alternative proteins),"Cell line development,Cell culture media,End product formulation and manufacturing",Whole muscle meat/seafood,Other,,Australia/New Zealand,Australia,New South Wales,Sydney,https://www.vowfood.com/,2019,"George Peppou, Tim Noakesmith",5ece22fb94d2b6f9f63256a6_Website Mark-p-500.png (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/ealBaQY_R7U2Gs9UMdyz4A/aMZ7o8du0DreQHg-YirwrgiQATEzBj40HwpwGHUh2ATZsKCWS13Wq_wLAGQpaLIBHmzg3Pv7TXN2bBjt5xGTAPK9Dq7mQAYPQcK8EVIPEJHALfmdfg9nkWIY3UnA34C4WmhxB9bBnuOWrCezwkGt6BVyDCrt7OpmPF9iYoyWZStGdhdzJtLX9MSU1FD7fpZt/xXJWcdM8GZ-9TASJLeN_mEUiM3cUizc_-G-2f_9xuds)
Eggless,"Produces eggless mayos, soy and pea varieties are available. ",Plant-based,Eggs,Specialized (focused on alternative proteins),End product formulation and manufacturing,Other,,"Soy,Pea",Latin America,Chile,N/A,Santiago,http://www.eggless.cl/,2011,Matias Muchnick,Capture.JPG (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/NpkMPwAwqJhL488l6F7xIQ/Ar-8cGg8GaafwaZzHhzNS3j5qVB8OuMREFy-G5SyQQVr1ezwfk-DazDl0T0OL2ZfzI28zJ_E3b_7JcmltLCJuDniiOBv5Oy0CjjPKlm46z3metON96Y6nzFk2RSw2lBiVEE0P1q4nieKqlHcN2o0IA/8SJNvyVxW6q1EjiSxRcnLiq_m4t9-5_xrsh0z4J3RtA)
"Eat Just, Inc. ","U.S.-based company with a plant-based egg brand called JUST Egg and a cultivated meat subsidiary called GOOD Meat, with plant-based products including liquid egg, folded egg, and sous vide egg bites as well as cultivated meat (chicken).  ","Plant-based,Cultivated","Meat,Eggs",Specialized (focused on alternative proteins),End product formulation and manufacturing,"Ground meat/seafood,Eggs",Chicken,Mung Bean,"U.S. and Canada,Asia Pacific",United States,California,San Francisco,"https://www.ju.st 
https://goodmeat.co",2011,"Josh Tetrick, Josh Balk",eib38f3x2wa0tlig29wf.png (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/tWOFMmWIhjqRoe1GtZ2i3Q/yFdhVO62ymEL2aOmyfsE0nzLCbLlWb_8oPHJOpuvx01UGpx4aT3D1N_J6md1ii0W8Yu-pVQYsA282QeX8mZpUIKCHJ9ftvD5-cmzJjMJNPxQqDA6oAu7ziavc13KQt6aGvP3dj10gKrVnDJf3xxUKNfo2XnJPTwAG1tEHpvzyX4/WYwo6TbdPSzQTWk6QQ-pi5f8qBjiP45rsoZHC4xBlhY)
Alife Foods,Germany-based company producing cultured schnitzel ,Cultivated,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Ground meat/seafood,Beef/veal,,Europe,Germany,Sachsen,Leipzig,http://alifefoods.de/,2019,"Steffen Sonnenberg, Dat Tran, Joe Natoli, Bernd Boeck",1569833371395.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/90s7ZQvBs5lU33Q0Aq9UkA/lv6qMt21gyCxkY4SbUNtXOeRZOPEgcsPgJqcXrJeUloGkKhkFyTeMiugjn04D2OWYLZNVKEm-kAnO1h7X6rwfW7PPzrFdG_mP91mxvtXYq-HT7EkWkMwDgu1FoL6OPu2xeP5R_GPueZLNJ3pAOfFEg/XY-YbRXISYqBZtztx3KTd9P4wK-46I71H4Uanl_ZgQ0)
